City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Korla,CN,2021-01-31 00:48:21,41.7597,86.1469,18.37,85,0,4.43
68,Myrtle Beach,US,2021-01-31 00:54:40,33.6891,-78.8867,46.0,53,75,4.61
69,Upernavik,GL,2021-01-31 00:47:10,72.7868,-56.1549,-9.13,87,100,6.98
70,Portland,US,2021-01-31 00:52:21,45.5234,-122.6762,48.99,81,90,13.8
71,Mogadishu,SO,2021-01-31 00:48:00,2.0371,45.3438,74.7,84,16,16.69
72,Ulaangom,MN,2021-01-31 00:57:17,49.9811,92.0667,-7.49,85,0,0.74
73,Ereymentau,KZ,2021-01-31 00:57:17,51.6199,73.1033,18.72,87,99,10.71
74,Lumberton,US,2021-01-31 00:56:48,34.6182,-79.0086,44.6,42,90,5.75
75,Buala,SB,2021-01-31 00:45:38,-8.145,159.5921,85.59,71,100,15.93
76,Teguldet,RU,2021-01-31 00:57:18,57.3064,88.1667,-28.82,83,0,4.41
77,Cidreira,BR,2021-01-31 00:44:11,-30.1811,-50.2056,75.67,91,92,8.34
78,Lebu,CL,2021-01-31 00:47:18,-37.6167,-73.65,56.5,85,1,12.01
79,Kavaratti,IN,2021-01-31 00:49:04,10.5669,72.642,80.78,72,4,9.06
80,Sao Filipe,CV,2021-01-31 00:48:06,14.8961,-24.4956,74.64,61,100,7.9
81,Luderitz,NA,2021-01-31 00:49:16,-26.6481,15.1594,65.39,63,0,18.03
82,Mar Del Plata,AR,2021-01-31 00:47:47,-38.0023,-57.5575,62.01,63,75,18.41
83,Mount Isa,AU,2021-01-31 00:49:21,-20.7333,139.5,98.6,25,79,6.91
84,Los Alamos,US,2021-01-31 00:56:58,35.8881,-106.307,37.4,41,1,4.94
85,Hilo,US,2021-01-31 00:57:20,19.7297,-155.09,80.6,54,75,9.22
86,Sambava,MG,2021-01-31 00:54:08,-14.2667,50.1667,75.88,87,0,5.61
87,Solnechnyy,RU,2021-01-31 00:57:21,50.7214,136.6319,-10.39,85,48,4.23
88,Jiuquan,CN,2021-01-31 00:57:21,39.7432,98.5174,17.47,73,0,3.98
89,Thompson,CA,2021-01-31 00:57:12,55.7435,-97.8558,14.0,92,90,2.3
90,Ancud,CL,2021-01-31 00:49:20,-41.8697,-73.8203,57.99,62,0,9.22
91,Chiang Kham,TH,2021-01-31 00:57:22,19.5233,100.3,66.2,100,20,2.3
92,Cayenne,GF,2021-01-31 00:47:56,4.9333,-52.3333,80.6,89,75,8.05
93,Aykhal,RU,2021-01-31 00:53:38,66.0,111.5,-33.25,81,100,11.99
94,Deputatskiy,RU,2021-01-31 00:49:04,69.3,139.9,-25.11,88,100,1.7
95,Norman Wells,CA,2021-01-31 00:47:40,65.282,-126.8329,-27.4,68,40,3.44
96,Naze,JP,2021-01-31 00:48:30,28.3667,129.4833,60.8,55,40,9.22
97,Jardim,BR,2021-01-31 00:56:37,-21.4803,-56.1381,77.14,82,4,6.78
98,Yerbogachen,RU,2021-01-31 00:51:25,61.2767,108.0108,-37.12,82,71,5.48
99,Bethel,US,2021-01-31 00:47:56,41.3712,-73.414,19.99,62,1,4.61
100,Chokurdakh,RU,2021-01-31 00:57:24,70.6333,147.9167,-29.6,85,0,8.3
101,Hirara,JP,2021-01-31 00:57:25,24.8,125.2833,66.2,59,40,10.36
102,Dikson,RU,2021-01-31 00:57:25,73.5069,80.5464,-34.28,80,0,6.85
